# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 30 10:00:55 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid	pl_hostname	pl_letter	pl_name	pl_discmethod	pl_orbper	st_dist	st_teff	pl_facility
81	CoRoT-25	b	CoRoT-25 b	Transit	4.86069000	1000.00	6040.00	CoRoT
82	CoRoT-26	b	CoRoT-26 b	Transit	4.20474000	1670.00	5590.00	CoRoT
83	CoRoT-27	b	CoRoT-27 b	Transit	3.57532000	1035.15	5900.00	CoRoT
84	CoRoT-28	b	CoRoT-28 b	Transit	5.20851000	560.00	5150.00	CoRoT
85	CoRoT-29	b	CoRoT-29 b	Transit	2.85057000	765.00	5260.00	CoRoT
86	CoRoT-3	b	CoRoT-3 b	Transit	4.25680000	680.00	6740.00	CoRoT
87	CoRoT-4	b	CoRoT-4 b	Transit	9.20205000	741.60	6190.00	CoRoT
88	CoRoT-5	b	CoRoT-5 b	Transit	4.03789620	904.65	6100.00	CoRoT
89	CoRoT-6	b	CoRoT-6 b	Transit	8.88659300	657.24	6090.00	CoRoT
90	CoRoT-7	b	CoRoT-7 b	Transit	0.85359000	153.70	5275.00	CoRoT
91	CoRoT-7	c	CoRoT-7 c	Radial Velocity	3.69800000	153.70	5275.00	CoRoT
92	CoRoT-8	b	CoRoT-8 b	Transit	6.21229000	380.00	5080.00	CoRoT
93	CoRoT-9	b	CoRoT-9 b	Transit	95.27265600	460.00	5625.00	CoRoT
94	CoRoTID 223977153	b	CoRoTID 223977153 b	Transit	6.71837000	586.20	5970.00	CoRoT
95	DENIS-P J082303.1-491201	b	DENIS-P J082303.1-491201 b	Astrometry	246.36000000	20.77		Paranal Observatory
96	DH Tau	b	DH Tau b	Imaging		140.00		Subaru Telescope
97	DP Leo	b	DP Leo b	Eclipse Timing Variations	10220.00000000			Yunnan Astronomical Observatory
98	EPIC 211822797	b	EPIC 211822797 b	Transit	21.16986100	187.19	4148.21	K2
99	EPIC 211945201	b	EPIC 211945201 b	Transit	19.49221000	182.69	6069.00	K2
100	EPIC 220674823	b	EPIC 220674823 b	Transit	0.57133100	246.10	5617.00	K2
101	EPIC 220674823	c	EPIC 220674823 c	Transit	13.33907900	246.10	5617.00	K2
102	EPIC 246851721	b	EPIC 246851721 b	Transit	6.18023500	336.70	6202.00	K2
103	FU Tau	b	FU Tau b	Imaging		140.00	2838.00	Spitzer Space Telescope
104	Fomalhaut	b	Fomalhaut b	Imaging	555530.00000000	7.70		Hubble Space Telescope
105	GJ 1132	b	GJ 1132 b	Transit	1.62893100	12.04	3270.00	Cerro Tololo Inter-American Observatory
106	GJ 1132	c	GJ 1132 c	Transit	8.92900000	12.04	3270.00	La Silla Observatory
107	GJ 1148	b	GJ 1148 b	Radial Velocity	41.38000000	11.02	3264.00	W. M. Keck Observatory
108	GJ 1148	c	GJ 1148 c	Radial Velocity	532.58000000	11.02	3264.00	Calar Alto Observatory
109	GJ 1214	b	GJ 1214 b	Transit	1.58040456	12.95	3026.00	MEarth Project
110	GJ 163	b	GJ 163 b	Radial Velocity	8.63182000	15.14	3500.00	La Silla Observatory
111	GJ 163	c	GJ 163 c	Radial Velocity	25.63058000	15.14	3500.00	La Silla Observatory
112	GJ 163	d	GJ 163 d	Radial Velocity	603.95116000	15.14	3500.00	La Silla Observatory
113	GJ 179	b	GJ 179 b	Radial Velocity	2288.00000000	12.36	3370.00	W. M. Keck Observatory
114	GJ 273	b	GJ 273 b	Radial Velocity	18.64980000	3.80	3382.00	La Silla Observatory
115	GJ 273	c	GJ 273 c	Radial Velocity	4.72340000	3.80	3382.00	La Silla Observatory
116	GJ 3021	b	GJ 3021 b	Radial Velocity	133.71000000	17.56	5540.00	La Silla Observatory
117	GJ 3138	b	GJ 3138 b	Radial Velocity	1.22003000		3717.00	La Silla Observatory
118	GJ 3138	c	GJ 3138 c	Radial Velocity	5.97400000		3717.00	La Silla Observatory
119	GJ 3138	d	GJ 3138 d	Radial Velocity	257.80000000		3717.00	La Silla Observatory
120	GJ 317	b	GJ 317 b	Radial Velocity	692.00000000	15.10	3510.00	W. M. Keck Observatory
121	GJ 317	c	GJ 317 c	Radial Velocity	5312.00000000	15.10	3510.00	W. M. Keck Observatory
122	GJ 328	b	GJ 328 b	Radial Velocity	4100.00000000	20.54	3900.00	McDonald Observatory
123	GJ 3293	b	GJ 3293 b	Radial Velocity	30.59870000	20.20	3466.00	La Silla Observatory
124	GJ 3293	c	GJ 3293 c	Radial Velocity	122.61960000	20.20	3466.00	La Silla Observatory
125	GJ 3293	d	GJ 3293 d	Radial Velocity	48.13450000	20.20	3466.00	La Silla Observatory
126	GJ 3293	e	GJ 3293 e	Radial Velocity	13.25430000	20.20	3466.00	La Silla Observatory
127	GJ 3323	b	GJ 3323 b	Radial Velocity	5.36360000	5.32	3159.00	La Silla Observatory
128	GJ 3323	c	GJ 3323 c	Radial Velocity	40.54000000	5.32	3159.00	La Silla Observatory
129	GJ 3341	b	GJ 3341 b	Radial Velocity	14.20700000	23.16	3526.00	La Silla Observatory
130	GJ 3470	b	GJ 3470 b	Radial Velocity	3.33664870	25.20	3652.00	La Silla Observatory
131	GJ 3634	b	GJ 3634 b	Radial Velocity	2.64561000	19.80		La Silla Observatory
132	GJ 3942	b	GJ 3942 b	Radial Velocity	6.90500000	16.94	3867.00	Roque de los Muchachos Observatory
133	GJ 3998	b	GJ 3998 b	Radial Velocity	2.64977000	17.79	3722.00	Roque de los Muchachos Observatory
134	GJ 3998	c	GJ 3998 c	Radial Velocity	13.74000000	17.79	3722.00	Roque de los Muchachos Observatory
135	GJ 433	b	GJ 433 b	Radial Velocity	7.37090000	9.07	3461.00	La Silla Observatory
136	GJ 436	b	GJ 436 b	Radial Velocity	2.64388312	9.76		W. M. Keck Observatory
137	GJ 504	b	GJ 504 b	Imaging		17.54	6234.00	Subaru Telescope
138	GJ 536	b	GJ 536 b	Radial Velocity	8.70760000	10.03	3685.00	La Silla Observatory
139	GJ 581	b	GJ 581 b	Radial Velocity	5.36860000	6.30		La Silla Observatory
140	GJ 581	c	GJ 581 c	Radial Velocity	12.91400000	6.30		La Silla Observatory
141	GJ 581	e	GJ 581 e	Radial Velocity	3.14900000	6.30		La Silla Observatory
142	GJ 625	b	GJ 625 b	Radial Velocity	14.62800000	6.49	3499.00	Multiple Observatories
143	GJ 649	b	GJ 649 b	Radial Velocity	598.30000000	10.38	3700.00	W. M. Keck Observatory
144	GJ 667 C	b	GJ 667 C b	Radial Velocity	7.20040000	6.80	3350.00	La Silla Observatory
145	GJ 667 C	c	GJ 667 C c	Radial Velocity	28.14000000	6.80	3350.00	La Silla Observatory
146	GJ 667 C	e	GJ 667 C e	Radial Velocity	62.24000000	6.80	3350.00	La Silla Observatory
147	GJ 667 C	f	GJ 667 C f	Radial Velocity	39.02600000	6.80	3350.00	La Silla Observatory
148	GJ 667 C	g	GJ 667 C g	Radial Velocity	256.20000000	6.80	3350.00	La Silla Observatory
149	GJ 674	b	GJ 674 b	Radial Velocity	4.69380000	4.55	3600.00	La Silla Observatory
150	GJ 676 A	b	GJ 676 A b	Radial Velocity	1056.80005000	16.90	3734.00	La Silla Observatory
151	GJ 676 A	c	GJ 676 A c	Radial Velocity	7337.00000000	16.90	3734.00	Paranal Observatory
152	GJ 676 A	d	GJ 676 A d	Radial Velocity	3.60050000	16.90	3734.00	La Silla Observatory
153	GJ 676 A	e	GJ 676 A e	Radial Velocity	35.39000000	16.90	3734.00	La Silla Observatory
154	GJ 687	b	GJ 687 b	Radial Velocity	38.14000000	4.55	3340.00	Lick Observatory
155	GJ 832	b	GJ 832 b	Radial Velocity	3657.00000000	4.97	3472.00	Anglo-Australian Telescope
156	GJ 832	c	GJ 832 c	Radial Velocity	35.68000000	4.97	3472.00	Multiple Observatories
157	GJ 849	b	GJ 849 b	Radial Velocity	1882.00000000	8.80	3241.00	W. M. Keck Observatory
158	GJ 86	b	GJ 86 b	Radial Velocity	15.76491000	10.79	5182.00	La Silla Observatory
159	GJ 876	b	GJ 876 b	Radial Velocity	61.11660000	4.68		Multiple Observatories
160	GJ 876	c	GJ 876 c	Radial Velocity	30.08810000	4.68		Multiple Observatories
161	GJ 876	d	GJ 876 d	Radial Velocity	1.93778000	4.68		W. M. Keck Observatory
162	GJ 876	e	GJ 876 e	Radial Velocity	124.26000000	4.68		W. M. Keck Observatory
163	GJ 96	b	GJ 96 b	Radial Velocity	73.94000000	11.94	3785.00	Haute-Provence Observatory
164	GJ 9827	b	GJ 9827 b	Transit	1.20898020	30.32	4269.00	K2
165	GJ 9827	c	GJ 9827 c	Transit	3.64808300	30.32	4269.00	K2
166	GJ 9827	d	GJ 9827 d	Transit	6.20146700	30.32	4269.00	K2
167	GQ Lup	b	GQ Lup b	Imaging		139.00		Paranal Observatory
168	GSC 06214-00210	b	GSC 06214-00210 b	Imaging		145.00	4200.00	Palomar Observatory
169	GU Psc	b	GU Psc b	Imaging		48.00		Gemini Observatory
170	HAT-P-1	b	HAT-P-1 b	Transit	4.46529976	139.00	5980.00	HATNet
171	HAT-P-11	b	HAT-P-11 b	Transit	4.88780244	37.81	4780.00	HATNet
172	HAT-P-11	c	HAT-P-11 c	Radial Velocity	3407.00000000	37.81	4780.00	W. M. Keck Observatory
173	HAT-P-12	b	HAT-P-12 b	Transit	3.21305980	142.50	4650.00	HATNet
174	HAT-P-13	b	HAT-P-13 b	Transit	2.91625000	214.00	5653.00	HATNet
175	HAT-P-13	c	HAT-P-13 c	Radial Velocity	446.27000000	214.00	5653.00	W. M. Keck Observatory
176	HAT-P-14	b	HAT-P-14 b	Transit	4.62767000	205.00	6600.00	HATNet
177	HAT-P-15	b	HAT-P-15 b	Transit	10.86350000	190.00	5568.00	HATNet
178	HAT-P-16	b	HAT-P-16 b	Transit	2.77596000	235.00	6158.00	HATNet
179	HAT-P-17	b	HAT-P-17 b	Transit	10.33852000	90.00	5246.00	HATNet
180	HAT-P-17	c	HAT-P-17 c	Radial Velocity	5584.00000000	90.00	5246.00	W. M. Keck Observatory
181	HAT-P-18	b	HAT-P-18 b	Transit	5.50802300	166.00	4803.00	HATNet
182	HAT-P-19	b	HAT-P-19 b	Transit	4.00877800	215.00	4990.00	HATNet
183	HAT-P-2	b	HAT-P-2 b	Transit	5.63351580	128.25	6380.00	HATNet
184	HAT-P-20	b	HAT-P-20 b	Transit	2.87531700	70.00	4595.00	HATNet
185	HAT-P-21	b	HAT-P-21 b	Transit	4.12448000	254.00	5588.00	HATNet
186	HAT-P-22	b	HAT-P-22 b	Transit	3.21222000	82.00	5302.00	HATNet
187	HAT-P-23	b	HAT-P-23 b	Transit	1.21288000	393.00	5905.00	HATNet
188	HAT-P-24	b	HAT-P-24 b	Transit	3.35524000	396.00	6373.00	HATNet
189	HAT-P-25	b	HAT-P-25 b	Transit	3.65283600	297.00	5500.00	HATNet
190	HAT-P-26	b	HAT-P-26 b	Transit	4.23452000	134.00	5079.00	HATNet
191	HAT-P-27	b	HAT-P-27 b	Transit	3.03957700	204.00	5300.00	HATNet
192	HAT-P-28	b	HAT-P-28 b	Transit	3.25721500	395.00	5680.00	HATNet
193	HAT-P-29	b	HAT-P-29 b	Transit	5.72319000	322.00	6087.00	HATNet
194	HAT-P-3	b	HAT-P-3 b	Transit	2.89970000	138.00	5185.00	HATNet
195	HAT-P-30	b	HAT-P-30 b	Transit	2.81060000	193.00	6304.00	HATNet
196	HAT-P-31	b	HAT-P-31 b	Transit	5.00542000	354.00	6065.00	HATNet
197	HAT-P-32	b	HAT-P-32 b	Transit	2.15001000	283.00	6207.00	HATNet
198	HAT-P-33	b	HAT-P-33 b	Transit	3.47447000	387.00	6446.00	HATNet
199	HAT-P-34	b	HAT-P-34 b	Transit	5.45265000	257.00	6442.00	HATNet
200	HAT-P-35	b	HAT-P-35 b	Transit	3.64671000	535.00	6096.00	HATNet
201	HAT-P-36	b	HAT-P-36 b	Transit	1.32735000	317.00	5560.00	HATNet
202	HAT-P-37	b	HAT-P-37 b	Transit	2.79743600	411.00	5500.00	HATNet
203	HAT-P-38	b	HAT-P-38 b	Transit	4.64038200	249.00	5330.00	HATNet
204	HAT-P-39	b	HAT-P-39 b	Transit	3.54387000	642.00	6430.00	HATNet
205	HAT-P-4	b	HAT-P-4 b	Transit	3.05653600	314.00	5860.00	HATNet
206	HAT-P-40	b	HAT-P-40 b	Transit	4.45724000	501.00	6080.00	HATNet
207	HAT-P-41	b	HAT-P-41 b	Transit	2.69405000	344.00	6390.00	HATNet
208	HAT-P-42	b	HAT-P-42 b	Transit	4.64187800	447.00	5743.00	HATNet
209	HAT-P-43	b	HAT-P-43 b	Transit	3.33268700	542.00	5645.00	HATNet
210	HAT-P-44	b	HAT-P-44 b	Transit	4.30121900	363.00	5295.00	HATNet
211	HAT-P-44	c	HAT-P-44 c	Radial Velocity	872.20000000	363.00	5295.00	W. M. Keck Observatory
212	HAT-P-45	b	HAT-P-45 b	Transit	3.12899200	305.00	6330.00	HATNet
213	HAT-P-46	b	HAT-P-46 b	Transit	4.46312900	296.00	6120.00	HATNet
214	HAT-P-49	b	HAT-P-49 b	Transit	2.69155000	322.00	6820.00	HATNet
215	HAT-P-5	b	HAT-P-5 b	Transit	2.78849000	340.00	5960.00	HATNet
216	HAT-P-50	b	HAT-P-50 b	Transit	3.12201090	497.00	6280.00	HATNet
217	HAT-P-51	b	HAT-P-51 b	Transit	4.21802780	470.00	5449.00	HATNet
218	HAT-P-52	b	HAT-P-52 b	Transit	2.75359530	385.00	5131.00	HATNet
219	HAT-P-53	b	HAT-P-53 b	Transit	1.96162410	719.00	5956.00	HATNet
220	HAT-P-54	b	HAT-P-54 b	Transit	3.79984700	144.25	4390.00	HATNet
221	HAT-P-55	b	HAT-P-55 b	Transit	3.58524670	480.00	5808.00	HATNet
222	HAT-P-56	b	HAT-P-56 b	Transit	2.79083000	310.50	6566.00	HATNet
223	HAT-P-57	b	HAT-P-57 b	Transit	2.46530000	303.00	6330.00	HATNet
224	HAT-P-6	b	HAT-P-6 b	Transit	3.85298000	261.00	6570.00	HATNet
225	HAT-P-65	b	HAT-P-65 b	Transit	2.60545520	841.00	5835.00	HATNet
226	HAT-P-66	b	HAT-P-66 b	Transit	2.97208600	927.00	6002.00	HATNet
227	HAT-P-67	b	HAT-P-67 b	Transit	4.81010250	320.00	6406.00	HATNet
228	HAT-P-7	b	HAT-P-7 b	Transit	2.20474000	320.00	6389.00	HATNet
229	HAT-P-8	b	HAT-P-8 b	Transit	3.07634000	230.00	6200.00	HATNet
230	HAT-P-9	b	HAT-P-9 b	Transit	3.92289000	480.00	6350.00	HATNet
231	HATS-1	b	HATS-1 b	Transit	3.44645900	303.00	5870.00	HATSouth
232	HATS-10	b	HATS-10 b	Transit	3.31284600	496.00	5880.00	HATSouth
233	HATS-11	b	HATS-11 b	Transit	3.61918800	967.34	6563.00	HATSouth
234	HATS-12	b	HATS-12 b	Transit	3.14270200	512.41	6357.00	HATSouth
235	HATS-13	b	HATS-13 b	Transit	3.04404990	476.00	5523.00	HATSouth
236	HATS-14	b	HATS-14 b	Transit	2.76676410	513.00	5346.00	HATSouth
237	HATS-15	b	HATS-15 b	Transit	1.74748753	689.00	5311.00	HATSouth
238	HATS-16	b	HATS-16 b	Transit	2.68650200	774.00	5738.00	HATSouth
239	HATS-17	b	HATS-17 b	Transit	16.25461100	339.00	5846.00	HATSouth
240	HATS-18	b	HATS-18 b	Transit	0.83784340	645.00	5600.00	Multiple Observatories
241	HATS-2	b	HATS-2 b	Transit	1.35413300	360.00	5227.00	HATSouth
242	HATS-22	b	HATS-22 b	Transit	4.72281240	207.90	4803.00	HATSouth
243	HATS-23	b	HATS-23 b	Transit	2.16051560	747.00	5780.00	HATSouth
244	HATS-24	b	HATS-24 b	Transit	1.34849540	510.00	6346.00	HATSouth
245	HATS-25	b	HATS-25 b	Transit	4.29864320	466.00	5715.00	HATSouth
246	HATS-26	b	HATS-26 b	Transit	3.30238810	907.00	6071.00	HATSouth
247	HATS-27	b	HATS-27 b	Transit	4.63703800	840.00	6438.00	HATSouth
248	HATS-28	b	HATS-28 b	Transit	3.18107810	521.00	5498.00	HATSouth
249	HATS-29	b	HATS-29 b	Transit	4.60587490	351.00	5670.00	HATSouth
250	HATS-3	b	HATS-3 b	Transit	3.54785100	453.00	6351.00	HATSouth
251	HATS-30	b	HATS-30 b	Transit	3.17435160	339.00	5943.00	HATSouth
252	HATS-31	b	HATS-31 b	Transit	3.37796000	872.00	6050.00	HATSouth
253	HATS-32	b	HATS-32 b	Transit	2.81265480	839.00	5700.00	HATSouth
254	HATS-33	b	HATS-33 b	Transit	2.54955510	255.00	5659.00	HATSouth
255	HATS-34	b	HATS-34 b	Transit	2.10616070	532.00	5380.00	HATSouth
256	HATS-35	b	HATS-35 b	Transit	1.82099930	557.00	6300.00	HATSouth
257	HATS-36	b	HATS-36 b	Transit	4.17518600	878.65	5950.00	HATSouth
258	HATS-39	b	HATS-39 b	Transit	4.57763480	773.00	6572.00	HATSouth
259	HATS-4	b	HATS-4 b	Transit	2.51672900	420.00	5403.00	HATSouth
260	HATS-40	b	HATS-40 b	Transit	3.26427360	1431.00	6460.00	HATSouth
261	HATS-41	b	HATS-41 b	Transit	4.19364900	800.00	6424.00	HATSouth
262	HATS-42	b	HATS-42 b	Transit	2.29210200	942.00	6060.00	HATSouth
263	HATS-43	b	HATS-43 b	Transit	4.38884970	341.00	5099.00	HATSouth
264	HATS-44	b	HATS-44 b	Transit	2.74390040	463.00	5080.00	HATSouth
265	HATS-45	b	HATS-45 b	Transit	4.18762440	818.00	6450.00	HATSouth
266	HATS-46	b	HATS-46 b	Transit	4.74237290	448.00	5495.00	HATSouth
267	HATS-5	b	HATS-5 b	Transit	4.76338700	257.00	5304.00	HATSouth
268	HATS-50	b	HATS-50 b	Transit	3.82970150	717.00	5990.00	HATSouth
269	HATS-51	b	HATS-51 b	Transit	3.34887020	478.00	5758.00	HATSouth
270	HATS-52	b	HATS-52 b	Transit	1.36665436	631.00	6010.00	HATSouth
271	HATS-53	b	HATS-53 b	Transit	3.85377680	613.00	5644.00	HATSouth
272	HATS-6	b	HATS-6 b	Transit	3.32527250	148.40	3724.00	HATSouth
273	HATS-7	b	HATS-7 b	Transit	3.18531500	257.00	4985.00	HATSouth
274	HATS-8	b	HATS-8 b	Transit	3.58389300	829.00	5679.00	HATSouth
275	HATS-9	b	HATS-9 b	Transit	1.91529100	654.36	5599.00	HATSouth
276	HD 100546	b	HD 100546 b	Imaging		97.00	10500.00	Paranal Observatory
277	HD 100655	b	HD 100655 b	Radial Velocity	157.57001000	137.72	4891.00	Bohyunsan Optical Astronomical Observatory
